,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
229,Ray-Ray McCloud,SFO,WR,26,1,0,0,0,0,0,0,0,0,,0,2,1,20,20.00,0,0,0,0,,,2,3.0,3.0,2.5,,88,,McClRa00
230,Rachaad White,TAM,RB,23,1,0,0,0,0,0,0,6,14,2.33,0,2,2,7,3.50,0,0,0,0,,,2,4.1,4.1,3.1,,59,,WhitRa01
231,Armani Rogers,WAS,TE,25,1,0,0,0,0,0,0,0,0,,0,1,1,23,23.00,0,0,0,0,,,2,3.3,3.3,2.8,,31,,RogeAr00
232,Anthony Firkser,ATL,TE,27,1,0,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,47,,FirkAn00
233,Parker Hesse,ATL,TE,27,1,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,49,,HessPa00
234,Dawson Knox,BUF,TE,26,1,1,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,50,,KnoxDa00
235,D'Onta Foreman,CAR,RB,26,1,0,0,0,0,0,0,2,5,2.50,0,0,0,0,,0,0,0,0,,,1,0.5,0.5,0.5,,68,,ForeDO00
236,Shi Smith,CAR,WR,24,1,1,0,0,0,0,0,0,0,,0,3,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,103,,SmitSh03
237,Darnell Mooney,CHI,WR,25,1,1,0,0,0,0,0,0,0,,0,3,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,111,,MoonDa00
238,David Njoku,CLE,TE,26,1,1,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,44,,NjokDa00
239,A.J. Green,ARI,WR,34,1,1,0,0,0,0,0,0,0,,0,4,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3,,98,,GreeA.00
240,Andy Isabella,ARI,WR,26,1,0,0,0,0,0,0,0,0,,0,3,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,107,,IsabAn00
241,Simi Fehoko,DAL,WR,25,1,0,0,0,0,0,0,0,0,,0,3,2,12,6.00,0,0,0,0,,,1,3.2,3.2,2.2,,104,,FehoSi00
242,Randall Cobb,GNB,WR,32,1,0,0,0,0,0,0,0,0,,0,3,2,14,7.00,0,0,0,0,,,1,3.4,3.4,2.4,,96,,CobbRa00
243,Jeff Driskel,HOU,TE,29,1,0,0,0,0,0,0,1,5,5.00,0,0,0,0,,0,0,0,0,,,1,0.5,0.5,0.5,,51,,DrisJe00
244,Troy Hairston,HOU,RB,24,1,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,69,,HairTr00
245,Brevin Jordan,HOU,TE,22,1,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,52,,JordBr00
246,Jamal Agnew,JAX,WR,27,1,0,0,0,0,0,0,1,6,6.00,0,1,1,6,6.00,0,0,0,0,,,1,2.2,2.2,1.7,,105,,AgneJa00
247,Noah Gray,KAN,TE,23,1,0,0,0,0,0,0,0,0,,0,2,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,42,,GrayNo00
248,Alec Ingold,MIA,RB,26,1,1,0,0,0,0,0,1,2,2.00,0,2,1,8,8.00,0,0,0,0,,,1,2.0,2.0,1.5,,64,,IngoAl01
249,Trent Sherfield,MIA,WR,26,1,0,0,0,0,0,0,0,0,,0,2,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,112,,SherTr00
250,Durham Smythe,MIA,TE,27,1,1,0,0,0,0,0,0,0,,0,2,1,14,14.00,0,0,0,0,,,1,2.4,2.4,1.9,,40,,SmytDu00
251,C.J. Ham,MIN,RB,29,1,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,67,,HamxC.00
252,K.J. Osborn,MIN,WR,25,1,1,0,0,0,0,0,0,0,,0,4,3,14,4.67,0,0,0,0,,,1,4.4,4.4,2.9,,97,,OsboKJ00
253,Nelson Agholor,NWE,WR,29,1,0,0,0,0,0,0,0,0,,0,5,3,28,9.33,0,1,1,0,,,1,3.8,4.8,2.3,,113,,AghoNe00
254,DeVante Parker,NWE,WR,29,1,1,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,109,,ParkDe01
255,Wan'Dale Robinson,NYG,WR,21,1,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,115,,RobiWa01
256,Austin Hooper,TEN,TE,28,1,0,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,48,,HoopAu00
